exposure	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	lower_ci	upper_ci
ieu-b-4957	10000_28_CRYBB2_CRBB2	10000_28	CRBB2	CRYBB2	2	Inverse variance weighted	-0.0174670170502397	0.0195091390907461	0.370613459559087	-0.0557049296681021	0.0207708955676228
ieu-b-4957	10001_7_RAF1_c_Raf	10001_7	c_Raf	RAF1	2	Inverse variance weighted	-0.014921673871998	0.0200012923093637	0.455645977644612	-0.0541242067983509	0.024280859054355
ieu-b-4957	10003_15_ZNF41_ZNF41	10003_15	ZNF41	ZNF41	2	Inverse variance weighted	0.00794275173221683	0.0194298866068209	0.682693462386365	-0.0301398260171521	0.0460253294815858
ieu-b-4957	10006_25_ELK1_ELK1	10006_25	ELK1	ELK1	2	Inverse variance weighted	-0.00585825140172249	0.028873175074035	0.839216329678832	-0.062449674546831	0.050733171743386
ieu-b-4957	10008_43_GUCA1A_GUC1A	10008_43	GUC1A	GUCA1A	2	Inverse variance weighted	-0.0165928468942259	0.022225510939984	0.455324597594065	-0.0601548483365944	0.0269691545481427
ieu-b-4957	10011_65_OCRL_OCRL	10011_65	OCRL	OCRL	2	Inverse variance weighted	-0.00429599940177995	0.0218771177702894	0.844320941068237	-0.0471751502315472	0.0385831514279873
ieu-b-4957	10012_5_SPDEF_SPDEF	10012_5	SPDEF	SPDEF	2	Inverse variance weighted	-0.00663261370058662	0.0198708257735788	0.738540659301772	-0.045579432216801	0.0323142048156278
ieu-b-4957	10014_31_SNAI2_SLUG	10014_31	SLUG	SNAI2	2	Inverse variance weighted	0.00153141986166998	0.0197350139198965	0.938146936432677	-0.0371492074213272	0.0402120471446672
ieu-b-4957	10015_119_KCNAB2_KCAB2	10015_119	KCAB2	KCNAB2	2	Inverse variance weighted	-0.0148073210300797	0.0197050325593208	0.452382665435758	-0.0534291848463484	0.0238145427861891
ieu-b-4957	10022_207_POLH_POLH	10022_207	POLH	POLH	2	Inverse variance weighted	0.00696134424249776	0.0192294092247808	0.717340445773213	-0.0307282978380726	0.0446509863230681
ieu-b-4957	10023_32_VDR_VDR	10023_32	VDR	VDR	2	Inverse variance weighted	-0.000315810126747942	0.0197813459960634	0.987262276262176	-0.0390872482790322	0.0384556280255363
ieu-b-4957	10024_44_HOGA1_HOGA1	10024_44	HOGA1	HOGA1	2	Inverse variance weighted	-0.00258564127048258	0.0196531540340361	0.895329414819588	-0.0411058231771933	0.0359345406362281
ieu-b-4957	10030_8_MUTYH_MutY_homolog	10030_8	MutY_homolog	MUTYH	2	Inverse variance weighted	-0.00137706563308554	0.0188159752883377	0.941658121033202	-0.0382563771982275	0.0355022459320564
ieu-b-4957	10035_6_DUSP4_DUS4	10035_6	DUS4	DUSP4	2	Inverse variance weighted	-0.00588881058894636	0.0193279275960753	0.760610765918286	-0.0437715486772539	0.0319939274993612
ieu-b-4957	10036_201_ZHX3_ZHX3	10036_201	ZHX3	ZHX3	2	Inverse variance weighted	-0.000154728250466845	0.0202584082280024	0.993906032473218	-0.0398612083773516	0.0395517518764179
ieu-b-4957	10037_98_SIGLEC12_SIG12	10037_98	SIG12	SIGLEC12	2	Inverse variance weighted	0.0105603117519245	0.0324966811159441	0.74520691439685	-0.0531331832353259	0.0742538067391749
ieu-b-4957	10040_63_TP63_P73L	10040_63	P73L	TP63	2	Inverse variance weighted	0.00235397981142784	0.0191349103619842	0.902091130661649	-0.0351504444980611	0.0398584041209168
ieu-b-4957	10041_3_HNF4A_HNF4A	10041_3	HNF4A	HNF4A	2	Inverse variance weighted	0.0108761123946447	0.0207921019271335	0.600912568000263	-0.0298764073825369	0.0516286321718264
ieu-b-4957	10042_8_SGK3_SGK3	10042_8	SGK3	SGK3	2	Inverse variance weighted	-0.00485601174842192	0.0199329430516674	0.807527151475611	-0.0439245801296899	0.0342125566328461
ieu-b-4957	10043_31_BRD4_BRD4	10043_31	BRD4	BRD4	2	Inverse variance weighted	-0.00100407531162478	0.0224141188024035	0.964269470839459	-0.0449357481643356	0.0429275975410861
ieu-b-4957	10044_12_WNT10A_WN10A	10044_12	WN10A	WNT10A	2	Inverse variance weighted	-0.00889861911241289	0.0196732272606657	0.651037556103927	-0.0474581445433177	0.0296609063184919
ieu-b-4957	10045_47_CUL3_CUL3	10045_47	CUL3	CUL3	2	Inverse variance weighted	-0.0104747398780566	0.0271600965817667	0.699743662742538	-0.0637085291783193	0.0427590494222061
ieu-b-4957	10046_55_BIRC2_cIAP_1	10046_55	cIAP_1	BIRC2	2	Inverse variance weighted	-0.0177855974202375	0.0209720932006164	0.396404448883706	-0.0588909000934457	0.0233197052529707
ieu-b-4957	10047_12_NCF2_NCF_2	10047_12	NCF_2	NCF2	2	Inverse variance weighted	-0.000107852046938349	0.0198361215867788	0.995661800179346	-0.0389866503570249	0.0387709462631482
ieu-b-4957	10048_7_CBFB_PEBB	10048_7	PEBB	CBFB	2	Inverse variance weighted	-0.0135914148741946	0.0223723089594735	0.543512109181954	-0.0574411404347627	0.0302583106863735
ieu-b-4957	10049_112_TERF1_TERF1	10049_112	TERF1	TERF1	2	Inverse variance weighted	0.00463358252594015	0.0197497592513007	0.814507850747946	-0.0340759456066092	0.0433431106584895
ieu-b-4957	10053_5_ILK_ILK1	10053_5	ILK1	ILK	2	Inverse variance weighted	-0.00802761113939714	0.032824179488556	0.806794076712713	-0.0723630029369669	0.0563077806581726
ieu-b-4957	10054_3_GAN_GAN	10054_3	GAN	GAN	2	Inverse variance weighted	-0.00744417060483513	0.0195002945188978	0.702649351275882	-0.0456647478618748	0.0307764066522045
ieu-b-4957	10056_5_FOXM1_FOXM1	10056_5	FOXM1	FOXM1	2	Inverse variance weighted	-0.0234709705994919	0.0326924006090189	0.47279827194204	-0.087548075793169	0.0406061345941852
ieu-b-4957	10058_1_RAD23A_RD23A	10058_1	RD23A	RAD23A	2	Inverse variance weighted	-0.00379867619865371	0.0305001643133398	0.900882910174834	-0.0635789982527998	0.0559816458554924
ieu-b-4957	10063_10_FANCL_FANCL	10063_10	FANCL	FANCL	2	Inverse variance weighted	0.00240778470972726	0.0196419539227359	0.902436709274767	-0.0360904449788351	0.0409060143982896
ieu-b-4957	10064_12_RBBP9_RBBP9	10064_12	RBBP9	RBBP9	2	Inverse variance weighted	0.010345943087127	0.0199287074548141	0.603657731342024	-0.0287143235243088	0.0494062096985627
ieu-b-4957	10070_22_PLCG2_PLCG2	10070_22	PLCG2	PLCG2	2	Inverse variance weighted	0.00707670287394712	0.0305765029533349	0.816971036091637	-0.0528532429145893	0.0670066486624835
ieu-b-4957	10073_22_TDP1_TYDP1	10073_22	TYDP1	TDP1	2	Inverse variance weighted	-0.0095326545534057	0.0197639290595131	0.629574462596947	-0.0482699555100514	0.02920464640324
ieu-b-4957	10074_128_BRD2_BRD2	10074_128	BRD2	BRD2	2	Inverse variance weighted	0.000301356041653888	0.0198001157586638	0.987856735127573	-0.0385068708453272	0.0391095829286349
ieu-b-4957	10075_75_ACBD6_ACBD6	10075_75	ACBD6	ACBD6	2	Inverse variance weighted	-0.00316223062971139	0.0203487200710424	0.876504452749343	-0.0430457219689545	0.0367212607095317
ieu-b-4957	10076_1_AP4M1_AP4M1	10076_1	AP4M1	AP4M1	2	Inverse variance weighted	-0.0199872146215077	0.019750540374258	0.311546096516693	-0.0586982737550534	0.018723844512038
ieu-b-4957	10078_5_BAG3_BAG3	10078_5	BAG3	BAG3	2	Inverse variance weighted	-0.00903637827136123	0.0195252757064199	0.643504769350777	-0.0473059186559443	0.0292331621132219
ieu-b-4957	10080_9_EIF2B1_EI2BA	10080_9	EI2BA	EIF2B1	2	Inverse variance weighted	-0.0129862729626122	0.039282157448747	0.740954498222214	-0.0899793015621564	0.0640067556369319
ieu-b-4957	10081_17_SATB2_SATB2	10081_17	SATB2	SATB2	2	Inverse variance weighted	-0.000554859256723313	0.0213715715270627	0.979287255335212	-0.0424431394497663	0.0413334209363196
ieu-b-4957	10082_251_NEFL_NFL	10082_251	NFL	NEFL	2	Inverse variance weighted	0.00150152750194199	0.0210636170086717	0.943170647347385	-0.0397831618350545	0.0427862168389385
ieu-b-4957	10085_25_STAR_STAR	10085_25	STAR	STAR	2	Inverse variance weighted	0.00337552893883665	0.0271069804029529	0.900898666695156	-0.049754152650951	0.0565052105286243
ieu-b-4957	10086_39_CBS_CBS	10086_39	CBS	CBS	2	Inverse variance weighted	0.0059088400886136	0.0193720894118303	0.760352281152406	-0.0320604551585738	0.043878135335801
ieu-b-4957	10087_10_CRYAA_Alpha_crystallin_A_chain	10087_10	Alpha_crystallin_A_chain	CRYAA	2	Inverse variance weighted	0.0124901066467168	0.0196782112098783	0.525612624247695	-0.0260791873246447	0.0510594006180783
ieu-b-4957	10088_37_APRT_APT	10088_37	APT	APRT	2	Inverse variance weighted	-0.0127157871593772	0.035253124433955	0.718324039091306	-0.0818119110499289	0.0563803367311745
ieu-b-4957	10089_7_ASMTL_ASML	10089_7	ASML	ASMTL	2	Inverse variance weighted	-0.0151732839466144	0.0203161596627095	0.455149352780196	-0.0549929568855249	0.0246463889922962
ieu-b-4957	10336_3_STUB1_CHIP	10336_3	CHIP	STUB1	2	Inverse variance weighted	-0.0238048743937365	0.0273848991276701	0.384699405268213	-0.07747927668397	0.0298695278964969
ieu-b-4957	10339_48_ENO2_NSE	10339_48	NSE	ENO2	2	Inverse variance weighted	-0.0181337691538295	0.0213782898245965	0.396308268260076	-0.0600352172100387	0.0237676789023797
ieu-b-4957	10342_55_PIAS4_PIAS4	10342_55	PIAS4	PIAS4	2	Inverse variance weighted	-0.0107717444810901	0.0195833854717001	0.582288466307737	-0.0491551800056222	0.0276116910434421
ieu-b-4957	10344_334_IL10RA_IL_10_Ra	10344_334	IL_10_Ra	IL10RA	2	Inverse variance weighted	-0.00844393432449046	0.0198695281718056	0.670859243782726	-0.0473882095412294	0.0305003408922485
ieu-b-4957	10346_5_STAT3_STAT3	10346_5	STAT3	STAT3	2	Inverse variance weighted	-0.0236492916625851	0.021084559446785	0.262015407836375	-0.0649750281782838	0.0176764448531136
ieu-b-4957	10356_21_JUN_c_Jun	10356_21	c_Jun	JUN	2	Inverse variance weighted	-0.0189012039036543	0.0198977782337299	0.342155293908186	-0.0579008492417649	0.0200984414344563
ieu-b-4957	10361_25_OAS1_OAS1	10361_25	OAS1	OAS1	2	Inverse variance weighted	0.00150994415203311	0.0255930451837848	0.95295352457702	-0.0486524244081851	0.0516723127122513
ieu-b-4957	10362_35_MYC_c_Myc	10362_35	c_Myc	MYC	2	Inverse variance weighted	0.0167247144568787	0.0195077222761223	0.391258032371495	-0.0215104212043211	0.0549598501180784
ieu-b-4957	10363_13_SMAD3_SMAD3	10363_13	SMAD3	SMAD3	2	Inverse variance weighted	-0.0106745979459605	0.0284836516323735	0.707837276696242	-0.0665025551454125	0.0451533592534915
