id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
myeloma_meta-analysis	10000_28_CRYBB2_CRBB2	myeloma_meta-analysis	10000_28_CRYBB2_CRBB2	3.47779628085854e-07	2.02402524082677e-06	FALSE	NA
myeloma_meta-analysis	10001_7_RAF1_c_Raf	myeloma_meta-analysis	10001_7_RAF1_c_Raf	2.62972019155208e-07	1.57667770803929e-06	FALSE	NA
myeloma_meta-analysis	10003_15_ZNF41_ZNF41	myeloma_meta-analysis	10003_15_ZNF41_ZNF41	4.86293920035048e-06	2.92139942222057e-05	FALSE	NA
myeloma_meta-analysis	10006_25_ELK1_ELK1	myeloma_meta-analysis	10006_25_ELK1_ELK1	1.6436059447193e-08	8.77685254375826e-08	FALSE	NA
myeloma_meta-analysis	10008_43_GUCA1A_GUC1A	myeloma_meta-analysis	10008_43_GUCA1A_GUC1A	9.4684713442741e-06	5.62119719368052e-05	FALSE	NA
myeloma_meta-analysis	10011_65_OCRL_OCRL	myeloma_meta-analysis	10011_65_OCRL_OCRL	9.15293112592607e-06	5.29762904628531e-05	FALSE	NA
myeloma_meta-analysis	10012_5_SPDEF_SPDEF	myeloma_meta-analysis	10012_5_SPDEF_SPDEF	1.05186190748459e-06	6.25049080538995e-06	FALSE	NA
myeloma_meta-analysis	10014_31_SNAI2_SLUG	myeloma_meta-analysis	10014_31_SNAI2_SLUG	6.73198362720261e-07	3.9097669993898e-06	FALSE	NA
myeloma_meta-analysis	10015_119_KCNAB2_KCAB2	myeloma_meta-analysis	10015_119_KCNAB2_KCAB2	9.00003817588292e-07	5.3948853470522e-06	FALSE	NA
myeloma_meta-analysis	10022_207_POLH_POLH	myeloma_meta-analysis	10022_207_POLH_POLH	5.91679722059914e-07	3.56095376879138e-06	FALSE	NA
myeloma_meta-analysis	10023_32_VDR_VDR	myeloma_meta-analysis	10023_32_VDR_VDR	8.24584260215606e-06	4.76156054161045e-05	FALSE	NA
myeloma_meta-analysis	10024_44_HOGA1_HOGA1	myeloma_meta-analysis	10024_44_HOGA1_HOGA1	1.64351617185346e-06	9.81704341422969e-06	FALSE	NA
myeloma_meta-analysis	10030_8_MUTYH_MutY_homolog	myeloma_meta-analysis	10030_8_MUTYH_MutY_homolog	9.49393921435851e-07	5.99056373276356e-06	FALSE	NA
myeloma_meta-analysis	10035_6_DUSP4_DUS4	myeloma_meta-analysis	10035_6_DUSP4_DUS4	3.59984943395083e-06	2.14020380014517e-05	FALSE	NA
myeloma_meta-analysis	10036_201_ZHX3_ZHX3	myeloma_meta-analysis	10036_201_ZHX3_ZHX3	2.62979055370781e-09	1.9402545404741e-08	FALSE	NA
myeloma_meta-analysis	10037_98_SIGLEC12_SIG12	myeloma_meta-analysis	10037_98_SIGLEC12_SIG12	9.00003817588292e-07	5.04952162052724e-06	FALSE	NA
myeloma_meta-analysis	10040_63_TP63_P73L	myeloma_meta-analysis	10040_63_TP63_P73L	3.0397796615255e-06	1.86462168270788e-05	FALSE	NA
myeloma_meta-analysis	10041_3_HNF4A_HNF4A	myeloma_meta-analysis	10041_3_HNF4A_HNF4A	4.31389717818125e-06	2.2977106199852e-05	FALSE	NA
myeloma_meta-analysis	10042_8_SGK3_SGK3	myeloma_meta-analysis	10042_8_SGK3_SGK3	3.22150885128915e-08	1.84806684021457e-07	FALSE	NA
myeloma_meta-analysis	10043_31_BRD4_BRD4	myeloma_meta-analysis	10043_31_BRD4_BRD4	8.09927347213755e-06	4.73376192110287e-05	FALSE	NA
myeloma_meta-analysis	10044_12_WNT10A_WN10A	myeloma_meta-analysis	10044_12_WNT10A_WN10A	9.7839330868731e-06	5.85266063529691e-05	FALSE	NA
myeloma_meta-analysis	10045_47_CUL3_CUL3	myeloma_meta-analysis	10045_47_CUL3_CUL3	2.62979055370781e-09	1.60458547079358e-08	FALSE	NA
myeloma_meta-analysis	10046_55_BIRC2_cIAP_1	myeloma_meta-analysis	10046_55_BIRC2_cIAP_1	1.28861583033239e-07	7.05440487576409e-07	FALSE	NA
myeloma_meta-analysis	10047_12_NCF2_NCF_2	myeloma_meta-analysis	10047_12_NCF2_NCF_2	2.36696550285392e-06	1.36878423223893e-05	FALSE	NA
myeloma_meta-analysis	10048_7_CBFB_PEBB	myeloma_meta-analysis	10048_7_CBFB_PEBB	1.77762257062198e-06	1.04353807791575e-05	FALSE	NA
myeloma_meta-analysis	10049_112_TERF1_TERF1	myeloma_meta-analysis	10049_112_TERF1_TERF1	1.57843423301322e-06	9.22290983955361e-06	FALSE	NA
myeloma_meta-analysis	10053_5_ILK_ILK1	myeloma_meta-analysis	10053_5_ILK_ILK1	1.33125594040399e-06	7.28994818067122e-06	FALSE	NA
myeloma_meta-analysis	10054_3_GAN_GAN	myeloma_meta-analysis	10054_3_GAN_GAN	9.15293112592607e-06	5.52326532364736e-05	FALSE	NA
myeloma_meta-analysis	10056_5_FOXM1_FOXM1	myeloma_meta-analysis	10056_5_FOXM1_FOXM1	1.47922734126954e-07	8.02379430072409e-07	FALSE	NA
myeloma_meta-analysis	10058_1_RAD23A_RD23A	myeloma_meta-analysis	10058_1_RAD23A_RD23A	6.57446056204654e-10	4.60977820231938e-09	FALSE	NA
myeloma_meta-analysis	10063_10_FANCL_FANCL	myeloma_meta-analysis	10063_10_FANCL_FANCL	5.32525741228048e-08	2.82541732773876e-07	FALSE	NA
